id,question,answer,A,B,C,D,E,F,question_zh,A_zh,B_zh,C_zh,D_zh,E_zh,F_zh,question_zh_zh
62,"A company asks a SysOps administrator to ensure that AWS CloudTrail files are not tampered with after they are created. Currently, the company uses AWS Identity and Access Management (IAM) to restrict access to specific trails. The company's security team needs the ability to trace the integrity of each file. What is the MOST operationally efficient solution that meets these requirements?",D,Create an Amazon EventBridge (Amazon CloudWatch Events) rule that invokes an AWS Lambda function when a new file is delivered. Configure the Lambda function to compute an MD5 hash check on the file and store the result in an Amazon DynamoDB table. The security team can use the values that are stored in DynamoDB to verify the integrity of the delivered files.,Create an AWS Lambda function that is invoked each time a new file is delivered to the CloudTrail bucket. Configure the Lambda function to compute an MD5 hash check on the file and store the result as a tag in an Amazon 53 object. The security team can use the information in the tag to verify the integrity of the delivered files.,Enable the CloudTrail file integrity feature on an Amazon S3 bucket. Create an IAM policy that grants the security team access to the file integrity logs that are stored in the S3 bucket.,Enable the CloudTrail file integrity feature on the trail. The security team can use the digest file that is created by CloudTrail to verify the integrity of the delivered files.,,,"一家公司要求一名 SysOps 管理员确保 AWS CloudTrail 文件在创建后不被篡改。  
Currently，当前，公司使用 AWS Identity and Access Management (IAM) 来限制对特定 trail 的访问。  
The company's security team 公司的安全团队 需要 需要 追踪 每个 文件 的 完整性 的 能力。  
What 是 什么 是 最 具 操作效率 的 解决方案 ？ 这 满足 这些 要求 ？","创建一个 Amazon EventBridge (Amazon CloudWatch Events) 规则，当新文件被传送时调用一个 AWS Lambda 函数。  
配置该 Lambda 函数以对文件进行 MD5 哈希校验，并将结果存储在一个 Amazon DynamoDB 表中。  
安全团队可以使用存储在 DynamoDB 中的值来验证传送文件的完整性。","创建一个 AWS Lambda function，每次有新文件传送到 CloudTrail bucket 时被调用。  
配置该 Lambda function 以对文件进行 MD5 hash 检查，并将结果作为标签存储在 Amazon S3 object 中。  
安全团队可以使用标签中的信息来验证传送文件的完整性。",在 Amazon S3 bucket 上启用 CloudTrail 文件完整性 功能。 创建一个 IAM 政策，授予安全团队 访问 存储在 S3 bucket 中 的 文件完整性 日志 的权限。,在 trail 上启用 CloudTrail 文件完整性功能。安全团队可以使用由 CloudTrail 创建的 digest 文件来验证传送文件的完整性。,nan,nan,"一家公司要求一名 SysOps 管理员确保 AWS CloudTrail 文件在创建后不被篡改。  
Currently，当前，公司使用 AWS Identity and Access Management (IAM) 来限制对特定 trail 的访问。  
The company's security team 公司的安全团队 需要 需要 追踪 每个 文件 的 完整性 的 能力。  
What 是 什么 是 最 具 操作效率 的 解决方案 ？ 这 满足 这些 要求 ？"
63,"When the AWS Cloud infrastructure experiences an event that may impact an organization, which AWS service can be used to see which of the organization's resources are affected?",C,AWS Service Health Dashboard,AWS Trusted Advisor,AWS Personal Health Dashboard,AWS Systems Manager,,,当 AWS Cloud 基础设施 体验 一个 事件 那 可能 影响 一个 组织， 哪个 AWS 服务 可以 被 用来 查看 哪些 组织 的 资源 被 影响？,AWS 服务 健康 仪表盘,AWS Trusted Advisor,AWS Personal Health Dashboard,AWS Systems Manager,nan,nan,当 AWS Cloud 基础设施 体验 一个 事件 那 可能 影响 一个 组织， 哪个 AWS 服务 可以 被 用来 查看 哪些 组织 的 资源 被 影响？
64,A company is using an AWS KMS customer master key (CMK) with imported key material. The company references the CMK by its alias in the Java application to encrypt data. The CMK must be rotated every 6 months. What is the process to rotate the key?,B,"Enable automatic key rotation for the CMK, and specify a period of 6 months.","Create a new CMK with new imported material, and update the key alias to point to the new CMK.","Delete the current key material, and import new material into the existing CMK.","Import a copy of the existing key material into a new CMK as a backup, and set the rotation schedule for 6 months.",,,"一家公司正在使用带有导入密钥材料的 AWS KMS customer master key (CMK)。  
该公司在 Java 应用程序中通过其别名引用 CMK 以加密数据。  
该 CMK 必须每 6 个月轮换一次。  
轮换密钥的流程是什么？",为 CMK 启用自动密钥轮换，且指定一个周期为 6 个月。,创建 一个 新 的 CMK 与 新 的 导入 材料 ， 并 更新 密钥 别名 指向 新 的 CMK 。,删除 当前 密钥 材料 ， 并 导入 新 材料 到 现有 的 CMK 。,将现有密钥材料的副本导入到新的 CMK 作为备份，且设置轮换计划为 6 个月。,nan,nan,"一家公司正在使用带有导入密钥材料的 AWS KMS customer master key (CMK)。  
该公司在 Java 应用程序中通过其别名引用 CMK 以加密数据。  
该 CMK 必须每 6 个月轮换一次。  
轮换密钥的流程是什么？"
65,The security team is concerned because the number of AWS Identity and Access Management (IAM) policies being used in the environment is increasing. The team tasked a SysOps administrator to report on the current number of IAM policies in use and the total available IAM policies. Which AWS service should the administrator use to check how current IAM policy usage compares to current service limits?,A,AWS Trusted Advisor,Amazon Inspector,AWS Config,AWS Organizations,,,"安全团队担心，因为在环境中使用的 AWS Identity and Access Management (IAM) 政策的数量正在增加。  
该团队指派一名 SysOps 管理员报告当前使用的 IAM 政策数量和总可用的 IAM 政策数量。  
管理员应该使用哪个 AWS 服务来检查当前 IAM 政策使用情况与当前服务限制的比较？",AWS Trusted Advisor,Amazon Inspector,AWS Config,AWS Organizations,nan,nan,"安全团队担心，因为在环境中使用的 AWS Identity and Access Management (IAM) 政策的数量正在增加。  
该团队指派一名 SysOps 管理员报告当前使用的 IAM 政策数量和总可用的 IAM 政策数量。  
管理员应该使用哪个 AWS 服务来检查当前 IAM 政策使用情况与当前服务限制的比较？"
66,"A SysOps administrator is trying to set up an Amazon Route 53 domain name to route traffic to a website hosted on Amazon S3. The domain name of the website is www.example.com and the S3 bucket name DOC-EXAMPLE-BUCKET. After the record set is set up in Route 53, the domain name www.anycompany.com does not seem to work, and the static website is not displayed in the browser. Which of the following is a cause of this?",D,The S3 bucket must be configured with Amazon CloudFront first.,The Route 53 record set must have an IAM role that allows access to the S3 bucket.,The Route 53 record set must be in the same region as the S3 bucket.,The S3 bucket name must match the record set name in Route 53.,,,"一名 SysOps 管理员正在尝试设置一个 Amazon Route 53 域名以将流量路由到托管在 Amazon S3 上的网站。  
The domain name of the website is www.example.com and the S3 bucket name DOC-EXAMPLE-BUCKET.  
在 Route 53 中设置记录集后，域名 www.anycompany.com 似乎无法工作，且浏览器中未显示静态网站。  
Which of the following is a cause of this?",S3 桶必须先配置 Amazon CloudFront。,Route 53 记录集必须拥有一个 IAM 角色，该角色允许访问 S3 桶。,The Route 53 记录集 必须 在 相同 区域 与 S3 桶。,S3 桶名称 必须 匹配 记录集名称 在 Route 53。,nan,nan,"一名 SysOps 管理员正在尝试设置一个 Amazon Route 53 域名以将流量路由到托管在 Amazon S3 上的网站。  
The domain name of the website is www.example.com and the S3 bucket name DOC-EXAMPLE-BUCKET.  
在 Route 53 中设置记录集后，域名 www.anycompany.com 似乎无法工作，且浏览器中未显示静态网站。  
Which of the following is a cause of this?"
67,"A SysOps administrator has used AWS CloudFormation to deploy a serverless application into a production VPC. The application consists of an AWS Lambda function, an Amazon DynamoDB table, and an Amazon API Gateway API. The SysOps administrator must delete the AWS CloudFormation stack without deleting the DynamoDB table. Which action should the SysOps administrator take before deleting the AWS CloudFormation stack?",A,Add a Retain deletion policy to the DynamoDB resource in the AWS CloudFormation stack.,Add a Snapshot deletion policy to the DynamoDB resource in the AWS CloudFormation stack.,Enable termination protection on the AWS CloudFormation stack.,Update the application's IAM policy with a Deny statement for the dynamodb:DeleteTable action.,,,"一名 SysOps 管理员已经使用 AWS CloudFormation 将无服务器应用程序部署到生产 VPC 中。  
该应用程序由一个 AWS Lambda 函数、一个 Amazon DynamoDB 表和一个 Amazon API Gateway API 组成。  
SysOps 管理员必须删除 AWS CloudFormation 堆栈而不删除 DynamoDB 表。  
在删除 AWS CloudFormation 堆栈之前，SysOps 管理员应采取哪项操作？",在 AWS CloudFormation 堆栈中，为 DynamoDB 资源添加一个 Retain 删除策略。,在 AWS CloudFormation 堆栈中，为 DynamoDB 资源添加一个 Snapshot 删除策略。,在 AWS CloudFormation 堆栈上启用终止保护。,用一个 Deny 声明更新应用程序的 IAM 政策，针对 dynamodb:DeleteTable 操作。,nan,nan,"一名 SysOps 管理员已经使用 AWS CloudFormation 将无服务器应用程序部署到生产 VPC 中。  
该应用程序由一个 AWS Lambda 函数、一个 Amazon DynamoDB 表和一个 Amazon API Gateway API 组成。  
SysOps 管理员必须删除 AWS CloudFormation 堆栈而不删除 DynamoDB 表。  
在删除 AWS CloudFormation 堆栈之前，SysOps 管理员应采取哪项操作？"
68,A SysOps administrator is notified that an Amazon EC2 instance has stopped responding. The AWS Management Console indicates that the system checks are failing. What should the administrator do first to resolve this issue?,B,Reboot the EC2 instance so it can be launched on a new host.,Stop and then start the EC2 instance so that it can be launched on a new host.,Terminate the EC2 instance and relaunch it.,View the AWS CloudTrail log to investigate what changed on the EC2 instance.,,,"一名 SysOps 管理员被通知一个 Amazon EC2 实例已经停止响应。  
The AWS Management Console 指示 that the system checks 是失败的。  
管理员应该首先做什么来解决这个问题？",重新启动 EC2 实例，以便它可以在新主机上启动。,停止，然后启动 EC2 实例，以便它可以在新主机上启动。,终止 EC2 实例，并重新启动它。,查看 AWS CloudTrail 日志 以 调查 什么 改变 在 EC2 实例 上 。,nan,nan,"一名 SysOps 管理员被通知一个 Amazon EC2 实例已经停止响应。  
The AWS Management Console 指示 that the system checks 是失败的。  
管理员应该首先做什么来解决这个问题？"
69,"A software development company has multiple developers who work on the same product. Each developer must have their own development environments, and these development environments must be identical. Each development environment consists of Amazon EC2 instances and an Amazon RDS DB instance. The development environments should be created only when necessary, and they must be terminated each night to minimize costs. What is the MOST operationally efficient solution that meets these requirements?",B,Provide developers with access to the same AWS CloudFormation template so that they can provision their development environment when necessary. Schedule a nightly cron job on each development instance to stop all running processes to reduce CPU utilization to nearly zero.,Provide developers with access to the same AWS CloudFormation template so that they can provision their development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to delete the AWS CloudFormation stacks.,Provide developers with CLI commands so that they can provision their own development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to invoke an AWS Lambda function to terminate all EC2 instances and the DB instance.,Provide developers with CLI commands so that they can provision their own development environment when necessary. Schedule a nightly Amazon EventBridge (Amazon CloudWatch Events) rule to cause AWS CloudFormation to delete all of the development environment resources.,,,"一家软件开发公司有多个开发人员，他们在同一个产品上工作。  
Each developer must have their own development environments, and these development environments must be identical.  
每个开发环境必须拥有自己的开发环境，并且这些开发环境必须相同。  
Each development environment consists of Amazon EC2 instances and an Amazon RDS DB instance.  
每个开发环境由 Amazon EC2 实例和一个 Amazon RDS DB 实例组成。  
The development environments should be created only when necessary, and they must be terminated each night to minimize costs.  
开发环境应仅在必要时创建，并且必须在每晚终止以最小化成本。  
What is the MOST operationally efficient solution that meets these requirements?  
满足这些要求的最具操作效率的解决方案是什么？",为开发人员提供访问相同的 AWS CloudFormation 模板，以便他们在必要时可以配置他们的开发环境。 在每个开发实例上安排一个每晚的 cron 作业，以停止所有运行中的进程，以将 CPU 利用率降低到几乎为零。,为开发者提供访问相同的 AWS CloudFormation 模板，以便他们在必要时可以配置他们的开发环境。安排一个每晚的 Amazon EventBridge (Amazon CloudWatch Events) 规则，以调用一个 AWS Lambda 函数，删除 AWS CloudFormation 堆栈。,为开发者提供 CLI 命令，以便他们在必要时可以配置自己的开发环境。安排一个每晚的 Amazon EventBridge (Amazon CloudWatch Events) 规则，以调用 AWS Lambda 函数，终止所有的 EC2 实例和数据库实例。,为开发者提供 CLI 命令，以便他们在必要时可以配置自己的开发环境。安排一个每晚的 Amazon EventBridge (Amazon CloudWatch Events) 规则，以使 AWS CloudFormation 删除所有的开发环境资源。,nan,nan,"一家软件开发公司有多个开发人员，他们在同一个产品上工作。  
Each developer must have their own development environments, and these development environments must be identical.  
每个开发人员必须拥有他们自己的开发环境，并且这些开发环境必须相同。  
Each development environment consists of Amazon EC2 instances and an Amazon RDS DB instance.  
每个开发环境由 Amazon EC2 实例和一个 Amazon RDS DB 实例组成。  
The development environments should be created only when necessary, and they must be terminated each night to minimize costs.  
开发环境应仅在必要时创建，并且它们必须在每晚终止以最小化成本。  
What is the MOST operationally efficient solution that meets these requirements?  
满足这些要求的最具操作效率的解决方案是什么？"
70,"A company is partnering with an external vendor to provide data processing services. For this integration, the vendor must host the company's data in an Amazon S3 bucket in the vendor's AWS account. The vendor is allowing the company to provide an AWS Key Management Service (AWS KMS) key to encrypt the company's data. The vendor has provided an IAM role Amazon Resources Name (ARN) to the company for this integration. What should a SysOps administrator do to configure this integration?",A,Create a new KMS key. Add the vendor's IAM role ARN to the KMS key policy. Provide the new KMS key ARN to the vendor.,Create a new KMS key. Create a new IAM key. Add the vendor's IAM role ARN to an inline policy that is attached to the IAM user. Provide the new IAM user ARN to the vendor.,Configure encryption using the KMS managed S3 key. Add the vendor's IAM role ARN to the KMS key policy. Provide the KMS managed S3 key ARN to the vendor.,Configure encryption using the KMS managed S3 key. Create an S3 bucket. Add the vendor's IAM role ARN to the S3 bucket policy. Provide the S3 bucket ARN to the vendor.,,,"一家公司正在与外部供应商合作，提供数据处理服务。  
For this integration，这个供应商必须在供应商的 AWS 账户中托管公司的数据在一个 Amazon S3 bucket 中。  
这个供应商允许公司提供一个 AWS Key Management Service (AWS KMS) key 来加密公司的数据。  
这个供应商已经为这个集成向公司提供了一个 IAM role Amazon Resources Name (ARN)。  
SysOps 管理员应该做什么来配置这个集成？",创建 一个 新的 KMS 密钥。 添加 供应商 的 IAM 角色 ARN 到 KMS 密钥 政策。 提供 新的 KMS 密钥 ARN 给 供应商。,创建一个新的 KMS 密钥。创建一个新的 IAM 密钥。将供应商的 IAM 角色 ARN 添加到附加到 IAM 用户的内联策略中。将新的 IAM 用户 ARN 提供给供应商。,使用 KMS 管理的 S3 密钥配置加密。将供应商的 IAM 角色 ARN 添加到 KMS 密钥策略中。向供应商提供 KMS 管理的 S3 密钥 ARN。,使用 KMS 管理的 S3 密钥配置加密。创建一个 S3 存储桶。将供应商的 IAM 角色 ARN 添加到 S3 存储桶策略中。向供应商提供 S3 存储桶 ARN。,nan,nan,"一家公司正在与外部供应商合作，提供数据处理服务。  
For this integration，这个供应商必须在供应商的 AWS 账户中托管公司的数据在一个 Amazon S3 bucket 中。  
这个供应商允许公司提供一个 AWS Key Management Service (AWS KMS) key 来加密公司的数据。  
这个供应商已经为这个集成向公司提供了一个 IAM role Amazon Resources Name (ARN)。  
SysOps 管理员应该做什么来配置这个集成？"
71,A SysOps administrator is using AWS Systems Manager Patch Manager to patch a fleet of Amazon EC2 instances. The SysOps administrator has configured a patch baseline and a maintenance window. The SysOps administrator also has used an instance tag to identify which instances to patch. The SysOps administrator must give Systems Manager the ability to access the EC2 instances. Which additional action must the SysOps administrator perform to meet this requirement?,B,Add an inbound rule to the instances' security group.,Attach an IAM instance profile with access to Systems Manager to the instances.,Create a Systems Manager activation. Then activate the fleet of instances.,Manually specify the instances to patch instead of using tag-based selection.,,,"一名 SysOps 管理员正在使用 AWS Systems Manager Patch Manager 来修补一组 Amazon EC2 实例。  
The SysOps administrator has configured a patch baseline and a maintenance window.  
该 SysOps 管理员还使用了实例标签来识别需要修补的实例。  
The SysOps administrator also has used an instance tag to identify which instances to patch.  
该 SysOps 管理员必须赋予 Systems Manager 访问 EC2 实例的权限。  
The SysOps administrator must give Systems Manager the ability to access the EC2 instances.  
为了满足此要求，SysOps 管理员还必须执行哪一额外操作？  
Which additional action must the SysOps administrator perform to meet this requirement?",向实例的安全组添加一个入站规则。,将具有对 Systems Manager 访问权限的 IAM 实例配置文件附加到实例上。,创建 一个 Systems Manager 激活。然后 激活 一组 实例。,手动 指定 实例 进行 修补 而不是 使用 基于 标签 的 选择。,nan,nan,"一名 SysOps 管理员正在使用 AWS Systems Manager Patch Manager 来修补一组 Amazon EC2 实例。  
The SysOps administrator has configured a patch baseline and a maintenance window.  
该 SysOps 管理员还使用了实例标签来识别需要修补的实例。  
The SysOps administrator also has used an instance tag to identify which instances to patch.  
该 SysOps 管理员必须赋予 Systems Manager 访问 EC2 实例的权限。  
The SysOps administrator must give Systems Manager the ability to access the EC2 instances.  
为了满足此要求，SysOps 管理员还必须执行哪一额外操作？  
Which additional action must the SysOps administrator perform to meet this requirement?"
72,"A company hosts its website on Amazon EC2 instances in the us-east-1 Region. The company is preparing to extend its website into the eu-central-1 Region, but the database must remain only in us-east-1. After deployment, the EC2 instances in eu-central-1 are unable to connect to the database in us-east-1. What is the MOST operationally efficient solution that will resolve this connectivity issue?",A,Create a VPC peering connection between the two Regions. Add the private IP address range of the instances to the inbound rule of the database security group.,Create a VPC peering connection between the two Regions. Add the security group of the instances in eu-central-1 to the outbound rule of the database security group.,Create a VPN connection between the two Regions. Add the private IP address range of the instances to the outbound rule of the database security group.,Create a VPN connection between the two Regions. Add the security group of the instances in eu-central-1 to the inbound rule of the database security group.,,,"一家公司在 us-east-1 区域的 Amazon EC2 实例上托管其网站。  
该公司正准备将其网站扩展到 eu-central-1 区域，但数据库必须仅保留在 us-east-1。  
部署后，eu-central-1 的 EC2 实例无法连接到 us-east-1 的数据库。  
什么是最具操作效率的解决方案，能够解决此连接问题？","在两个区域之间创建一个 VPC peering 连接。  
将实例的私有 IP 地址范围添加到数据库安全组的入站规则中。","在两个区域之间创建一个 VPC peering 连接。  
将 eu-central-1 中实例的安全组添加到数据库安全组的出站规则中。",在两个 Regions 之间创建一个 VPN 连接。将实例的私有 IP 地址范围添加到数据库安全组的出站规则中。,在两个区域之间创建一个 VPN 连接。将 eu-central-1 中实例的安全组添加到数据库安全组的入站规则中。,nan,nan,"一家公司在 us-east-1 区域的 Amazon EC2 实例上托管其网站。  
该公司正准备将其网站扩展到 eu-central-1 区域，但数据库必须仅保留在 us-east-1。  
部署后，eu-central-1 的 EC2 实例无法连接到 us-east-1 的数据库。  
什么是最具操作效率的解决方案，能够解决此连接问题？"
73,A company wants to create an automated solution for all accounts managed by AWS Organizations to detect any security groups that use 0.0.0.0/0 as the source address for inbound traffic. The company also wants to automatically remediate any noncompliant security groups by restricting access to a specific CIDR block that corresponds with the company's intranet. Which set of actions should the SysOps administrator take to create a solution?,A,Create an AWS Config rule to detect noncompliant security groups. Set up automatic remediation to change the 0.0.0.0/0 source address to the approved CIDR block.,Create an IAM policy to deny the creation of security groups that have 0.0.0.0/0 as the source address. Attach this IAM policy to every user in the company.,Create an AWS Lambda function to inspect new and existing security groups. Check for a noncompliant 0.0.0.0/0 source address and change the source address to the approved CIDR block.,Create a service control policy (SCP) for the organizational unit (OU) to deny the creation of security groups that have the 0.0.0.0/0 source address. Set up automatic remediation to change the 0.0.0.0/0 source address to the approved CIDR block.,,,"一家公司想要为由 AWS Organizations 管理的所有账户创建一个自动化解决方案，以检测任何使用 0.0.0.0/0 作为入站流量源地址的安全组。  
该公司还希望通过限制访问与公司内联网对应的特定 CIDR 块，自动修复任何不合规的安全组。  
SysOps 管理员应采取哪一组行动来创建一个解决方案？","创建一个 AWS Config 规则以检测不合规的安全组。  
设置自动修复以将 0.0.0.0/0 源地址更改为已批准的 CIDR 块。","创建一个 IAM 政策以拒绝创建具有 0.0.0.0/0 作为源地址的 security groups。  
将此 IAM 政策附加到公司中的每个用户。","创建一个 AWS Lambda function 来检查新的和现有的 security groups。  
检查是否存在不合规的 0.0.0.0/0 源地址，并将源地址更改为已批准的 CIDR block。","为组织单元（OU）创建一个服务控制策略（SCP），以拒绝创建具有 0.0.0.0/0 源地址的安全组。  
设置自动修复，将 0.0.0.0/0 源地址更改为已批准的 CIDR 块。",nan,nan,"一家公司想要为由 AWS Organizations 管理的所有账户创建一个自动化解决方案，以检测任何使用 0.0.0.0/0 作为入站流量源地址的安全组。  
该公司还希望通过限制访问与公司内联网对应的特定 CIDR 块，自动修复任何不合规的安全组。  
SysOps 管理员应采取哪一组行动来创建一个解决方案？"
74,"A company requires that all activity in its AWS account be logged using AWS CloudTrail. Additionally, a SysOps administrator must know when CloudTrail log files are modified or deleted. How should the SysOps administrator meet these requirements?",A,Enable log file integrity validation. Use the AWS CLI to validate the log files.,Enable log file integrity validation. Use the AWS CloudTrail Processing Library to validate the log files.,Use CloudTrail Insights to monitor the log files for modifications.,Use Amazon CloudWatch Logs to monitor the log files for modifications.,,,"一家公司要求其所有在 AWS 账户中的活动都必须使用 AWS CloudTrail 进行记录。  
此外，SysOps 管理员必须知道何时 CloudTrail 日志文件被修改或删除。  
管理员应该如何满足这些要求？",启用 log file integrity validation。使用 AWS CLI 来验证 log 文件。,启用 log file integrity validation。使用 AWS CloudTrail Processing Library 来验证 log 文件。,使用 CloudTrail Insights 来监控 日志 文件 的 修改。,使用 Amazon CloudWatch Logs 来 监控 日志 文件 的 修改。,nan,nan,"一家公司要求其所有在 AWS 账户中的活动都必须使用 AWS CloudTrail 进行记录。  
此外，SysOps 管理员必须知道何时 CloudTrail 日志文件被修改或删除。  
管理员应该如何满足这些要求？"
75,"A company is planning to host its stateful web-based applications on AWS. A SysOps administrator is using an Auto Scaling group of Amazon EC2 instances. The web applications will run 24 hours a day, 7 days a week throughout the year. The company must be able to change the instance type within the same instance family later in the year based on the traffic and usage patterns. Which EC2 instance purchasing option will meet these requirements MOST cost-effectively?",A,Convertible Reserved Instances,On-Demand Instances,Spot Instances,Standard Reserved Instances,,,一家公司计划在 AWS 上托管其有状态的基于网页的应用程序。 一名 SysOps 管理员正在使用 Amazon EC2 实例的自动伸缩组。 这些网页应用程序将全年每天24小时，每周7天运行。 这家公司必须能够在今年晚些时候根据流量和使用模式更改实例类型，且必须在同一实例系列内。 哪种 EC2 实例购买选项将以最具成本效益的方式满足这些需求？,Convertible Reserved Instances,按需实例,Spot Instances,标准预留实例,nan,nan,"一家公司计划在 AWS 上托管其有状态的基于网页的应用程序。  
一名 SysOps 管理员正在使用 Amazon EC2 实例的自动伸缩组。  
这些网页应用程序将全年每天24小时，每周7天运行。  
这家公司必须能够在今年晚些时候根据流量和使用模式更改实例类型，且必须在同一实例系列内。  
哪种 EC2 实例购买选项将以最具成本效益的方式满足这些需求？"
76,"An application runs on Amazon EC2 instances in an Auto Scaling group. Following the deployment of a new feature on the EC2 instances, some instances were marked as unhealthy and then replaced by the Auto Scaling group. The EC2 instances terminated before a SysOps administrator could determine the cause of the health status changes. To troubleshoot this issue, the SysOps administrator wants to ensure that an AWS Lambda function is invoked in this situation. How should the SysOps administrator meet these requirements?",C,Activate the instance scale-in protection setting for the Auto Scaling group. Invoke the Lambda function through Amazon EventBridge (Amazon CloudWatch Events).,Activate the instance scale-in protection setting for the Auto Scaling group. Invoke the Lambda function through Amazon Route 53.,Add a lifecycle hook to the Auto Scaling group to invoke the Lambda function through Amazon EventBridge (Amazon CloudWatch Events).,Add a lifecycle hook to the Auto Scaling group to invoke the Lambda function through Amazon Route 53.,,,"一个应用程序在 Amazon EC2 实例上运行，在一个 Auto Scaling 组中。  
Following the deployment of a new feature on the EC2 instances, 一些实例被标记为不健康，然后被 Auto Scaling 组替换。  
The EC2 instances terminated before a SysOps administrator could determine the cause of the health status changes.  
为了排查这个问题，SysOps 管理员想要确保在这种情况下调用一个 AWS Lambda 函数。  
How should the SysOps administrator meet these requirements?",激活实例缩减保护设置为 Auto Scaling 组。 通过 Amazon EventBridge (Amazon CloudWatch Events) 调用 Lambda 函数。,激活 Auto Scaling 组的实例缩减保护设置。 通过 Amazon Route 53 调用 Lambda 函数。,在 Auto Scaling 组中添加一个生命周期钩子，以通过 Amazon EventBridge (Amazon CloudWatch Events) 调用 Lambda 函数。,在 Auto Scaling 组中添加一个生命周期钩子，以通过 Amazon Route 53 调用 Lambda 函数。,nan,nan,"一个应用程序在 Amazon EC2 实例上运行，在一个 Auto Scaling 组中。  
Following the deployment of a new feature on the EC2 instances, 一些实例被标记为不健康，然后被 Auto Scaling 组替换。  
The EC2 instances terminated before a SysOps administrator could determine the cause of the health status changes.  
为了排查这个问题，SysOps 管理员想要确保在这种情况下调用一个 AWS Lambda 函数。  
How should the SysOps administrator meet these requirements?"
77,"A company runs an application that hosts critical data for several clients. The company uses AWS CloudTrail to track user activities on various AWS resources. To meet new security requirements, the company needs to protect the CloudTrail log files from being modified, deleted, or forged. Which solution will meet these requirement?",A,Enable CloudTrail log file integrity validation.,Use Amazon S3 MFA Delete on the S3 bucket where the CloudTrail log files are stored.,Use Amazon S3 Versioning to keep all versions of the CloudTrail log files.,Use AWS Key Management Service (AWS KMS) security keys to secure the CloudTrail log files.,,,"一家公司运行一个应用程序，该应用程序托管多个客户的关键数据。  
The company uses AWS CloudTrail to track user activities on various AWS resources.  
为了满足新的安全要求，  
To meet new security requirements,  
该公司需要保护 CloudTrail log files 免受被修改、删除或伪造。  
the company needs to protect the CloudTrail log files from being modified, deleted, or forged.  
哪种解决方案可以满足这些要求？  
Which solution will meet these requirement?",启用 CloudTrail 日志文件完整性验证。,在 Amazon S3 上使用 MFA Delete 在存储 CloudTrail 日志文件的 S3 桶。,使用 Amazon S3 Versioning 来 保持 所有 版本 的 CloudTrail 日志 文件。,使用 AWS Key Management Service (AWS KMS) 安全密钥 来 保护 CloudTrail 日志文件。,nan,nan,"一家公司运行一个应用程序，该应用程序托管多个客户的关键数据。  
The company uses AWS CloudTrail to track user activities on various AWS resources.  
为了满足新的安全要求，  
To meet new security requirements,  
该公司需要保护 CloudTrail log files 免受被修改、删除或伪造。  
the company needs to protect the CloudTrail log files from being modified, deleted, or forged.  
哪种解决方案可以满足这些要求？  
Which solution will meet these requirement?"
78,A global company operates out of five AWS Regions. A SysOps administrator wants to identify all the company's tagged and untagged Amazon EC2 instances. The company requires the output to display the instance ID and tags. What is the MOST operationally efficient way for the SysOps administrator to meet these requirements?,D,Create a tag-based resource group in AWS Resource Groups.,Use AWS Trusted Advisor. Export the EC2 On-Demand Instances check results from Trusted Advisor.,"Use Cost Explorer. Choose a service type of EC2-Instances, and group by Resource.","Use Tag Editor in AWS Resource Groups. Select all Regions, and choose a resource type of AWS::EC2::Instance.",,,一个全球公司在五个 AWS Regions 运营。 一个 SysOps 管理员 想要 识别 所有 该公司的 标记 和 未标记 的 Amazon EC2 实例。 该公司 需要 输出 显示 实例 ID 和 标签。 什么 是 最具 操作效率 的 方法 让 SysOps 管理员 满足 这些 需求？,在 AWS Resource Groups 中创建一个基于标签的资源组。,使用 AWS Trusted Advisor。导出 EC2 On-Demand Instances 检查结果从 Trusted Advisor。,使用 Cost Explorer。选择一个服务类型为 EC2-Instances，并按 Resource 分组。,在 AWS Resource Groups 中使用 Tag Editor。选择所有区域，和选择一个资源类型为 AWS::EC2::Instance。,nan,nan,"一个全球公司在五个 AWS Regions 运营。  
一个 SysOps 管理员 想要 识别 所有 该公司的 标记 和 未标记 的 Amazon EC2 实例。  
该公司 需要 输出 显示 实例 ID 和 标签。  
什么 是 最具 操作效率 的 方法 让 SysOps 管理员 满足 这些 需求？"
